,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,81,-2,18,380.62,"5,981.15",5.50,50,"5,947.40","5,987.00",50,"11,000.00","29,000",0.20,0.25,"1,22,100",-0.10,0.20,248.58,"53,553","-1,640","5,360",
,3,2,4,366.10,"5,005.35",-5.65,100,"4,974.25","5,003.55","1,900","12,000.00","1,49,800",0.15,0.20,"21,800",-0.15,0.15,201.33,"22,492","-1,193","1,980",
,"5,127","-2,703","4,297",217.98,"3,973.10",-54.05,500,"3,971.95","3,990.15",50,"13,000.00","15,100",0.20,0.30,"2,400",-0.25,0.20,160.17,"14,005",-363,"7,050",
,224,-5,35,-,"2,967.00",-53.35,200,"2,967.45","2,991.10",50,"14,000.00","1,70,350",0.20,0.30,"97,500",-0.10,0.30,120.11,"24,367","-1,433","6,821",
,"7,710","-1,208","3,589",134.17,"1,984.55",-34.55,50,"1,979.00","1,982.75",50,"15,000.00","1,39,150",0.20,0.25,"5,450",-0.50,0.25,78.52,"30,022",-367,"24,861",
,2,-,-,-,-,-,"1,800","1,494.15","1,565.10","1,000","15,450.00","30,000",0.25,0.75,"1,800",-0.55,0.25,62.98,"2,280",34,838,
,23,-60,72,-,"1,455.00",-132.00,50,"1,459.50","1,482.20","1,500","15,500.00","1,04,650",0.25,0.30,"66,950",-0.55,0.30,60.13,"45,398",-252,"21,455",
,1,1,2,128.75,"1,468.50","-1,463.40",150,"1,397.55","1,462.90",450,"15,550.00","1,850",0.30,0.55,"1,300",-0.55,0.35,59.79,"2,199",164,938,
,1,-,-,-,-,-,950,"1,350.70","1,387.30",150,"15,600.00",900,0.35,0.40,"16,200",-0.60,0.40,57.79,"13,615","4,697","11,825",
,-,-,-,-,-,-,150,"1,301.20","1,362.55",150,"15,650.00","1,800",0.30,0.50,"2,400",-0.55,0.45,56.44,"3,293",44,600,
,11,-,4,95.17,"1,289.00",34.60,400,"1,251.30","1,290.00",150,"15,700.00","36,350",0.35,0.45,150,-0.60,0.45,54.43,"24,860","-2,299","21,027",
,-,-,-,-,-,-,150,"1,201.85","1,260.80",150,"15,750.00",50,0.40,0.60,150,-0.50,0.60,52.97,"11,391",-57,"3,103",
,29,-12,22,-,"1,165.00",-110.00,150,"1,165.40","1,183.70",700,"15,800.00",100,0.45,0.70,"10,800",-0.45,0.70,50.94,"41,472",-378,"39,032",
,2,-,-,-,-,-,150,"1,102.85","1,162.05",150,"15,850.00",400,0.35,0.55,900,-0.80,0.30,48.38,"10,159",-160,890,
,21,-7,11,-,"1,050.00",-158.00,50,"1,066.65","1,082.60",100,"15,900.00","8,800",0.40,0.55,"4,750",-0.75,0.40,45.81,"42,061","-1,968","18,117",
,4,-,1,112.90,"1,092.20",-73.75,50,"1,002.05","1,058.75",600,"15,950.00","41,350",0.40,0.55,"5,500",-0.75,0.45,44.34,"11,234",-380,"2,468",
,"4,975",-950,"3,142",72.78,983.65,-40.35,150,976.65,981.85,100,"16,000.00","36,750",0.40,0.50,"9,800",-0.85,0.45,41.81,"2,27,515","-20,330","91,388",
,10,-,4,46.98,920.00,-55.00,"1,800",899.80,959.10,450,"16,050.00","38,200",0.40,0.50,700,-0.90,0.40,40.30,"13,235",-477,"2,041",
,99,-37,42,-,860.00,-64.55,300,851.60,881.20,50,"16,100.00","1,100",0.45,0.50,"8,900",-0.95,0.45,38.71,"69,797","-5,966","17,871",
,16,-,2,42.29,820.00,-50.50,150,823.00,836.85,"1,800","16,150.00","1,18,850",0.45,0.55,500,-0.90,0.55,36.24,"24,418","-2,974","3,341",
