,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,500","1,545.60","1,897.40","1,000","15,450.00","7,400",1.65,1.90,"6,100",0.05,1.90,-,"3,974","1,970","2,865",
,17,2,5,-,"1,610.00",80.00,"1,750","1,483.45","1,795.70","1,000","15,500.00",50,2.05,2.15,500,-,2.05,-,"57,098","28,798","34,249",
,-,-,-,-,-,-,"1,500","1,451.30","1,743.60","1,500","15,550.00",200,1.90,2.20,300,-0.20,1.90,-,"3,292",778,966,
,-,-,-,-,-,-,"1,500","1,402.95","1,668.95","1,500","15,600.00","40,750",2.25,2.35,400,0.05,2.25,-,"24,224","11,722","12,254",
,-,-,-,-,-,-,"1,500","1,355.85","1,766.50","1,000","15,650.00",200,1.05,4.90,"1,750",2.55,4.90,-,579,35,212,
,-,-,-,-,-,-,"1,750","1,307.25","1,570.60","1,500","15,700.00","3,200",2.45,4.05,"1,800",-0.05,2.45,-,"43,423","22,228","24,196",
,-,-,-,-,-,-,"1,500","1,260.50","1,620.85","1,500","15,750.00",300,1.60,2.55,150,0.10,2.55,-,"3,022",766,988,
,16,-,-,-,-,-,"1,500","1,210.65","1,502.75","1,500","15,800.00","79,000",2.60,2.65,600,-0.20,2.60,-,"45,611","13,638","17,137",
,-,-,-,-,-,-,"1,500","1,163.95","1,447.30","1,500","15,850.00","1,500",1.30,2.70,300,-0.45,2.55,-,"5,567","2,647","2,956",
,-,-,-,-,-,-,"1,500","1,115.10","1,352.20","1,500","15,900.00","1,300",2.05,2.60,"3,600",-1.20,2.05,-,"50,499","12,349","16,167",
,-,-,-,-,-,-,"3,250","1,027.90","1,320.00","1,500","15,950.00","1,800",2.05,2.80,400,-1.05,2.70,-,"6,990","1,761","2,328",
,"5,669","4,443","5,293",-,"1,144.00",139.70,"1,000","1,088.00","1,147.35",250,"16,000.00",200,2.75,2.95,500,-1.85,2.55,-,"1,25,537","42,657","55,096",
,-,-,-,-,-,-,"1,500",933.90,"1,242.75","1,500","16,050.00",100,2.30,3.25,350,-1.70,3.20,-,"13,080","2,023","2,611",
,7,3,4,-,922.30,-5.05,"1,750",891.05,"1,167.00","1,000","16,100.00",650,3.00,3.30,500,-2.35,3.25,20.27,"75,224","16,930","21,585",
,2,-,1,-,855.00,-49.10,"1,750",848.10,"1,143.25","1,000","16,150.00",300,3.40,3.80,550,-2.95,3.60,-,"17,245",378,"3,406",
,11,5,10,-,830.10,30.10,"1,750",820.15,"1,089.05","1,000","16,200.00","1,350",3.70,3.95,"1,800",-4.00,3.70,19.17,"1,32,669","40,333","52,050",
,3,1,2,-,841.00,74.35,"1,000",740.35,"1,027.85","1,000","16,250.00","1,350",3.75,4.40,550,-4.90,4.30,18.54,"26,970","6,382","8,848",
,73,6,20,-,819.70,90.80,"1,800",825.20,992.15,"1,000","16,300.00","1,200",4.20,4.70,850,-6.85,4.20,-,"1,10,184","13,524","23,387",
,6,-,-,-,-,-,"1,000",649.80,969.75,"1,000","16,350.00","1,600",4.80,5.15,300,-8.00,5.00,17.31,"42,079",587,"4,527",
