,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,83,-,8,172.45,"5,975.65",-123.35,50,"5,918.75","5,950.85",400,"11,000.00","56,250",0.35,0.40,"5,550",0.05,0.35,115.96,"29,514","2,374","2,969",
,1,-,5,171.91,"5,011.00",-111.00,"1,800","4,893.40","4,976.25","1,700","12,000.00","12,800",0.35,0.45,400,0.05,0.35,94.00,"6,581",940,"1,681",
,"10,006",-416,709,-,"3,943.10",-138.00,"1,250","3,915.75","3,944.00",50,"13,000.00","13,850",0.35,0.45,500,-0.05,0.35,73.59,"6,577",-46,"7,997",
,296,-105,116,-,"2,943.25",-141.15,450,"2,929.50","2,941.10",350,"14,000.00","54,050",0.35,0.40,200,-0.20,0.40,55.05,"29,148","6,082","10,696",
,"9,967",-447,"2,020",-,"1,933.40",-160.10,50,"1,932.05","1,942.20",50,"15,000.00","18,550",0.75,1.05,550,-0.15,0.80,39.16,"34,994","5,146","31,534",
,2,2,4,-,"1,501.20","-1,524.80",150,"1,456.90","1,501.10",250,"15,450.00",100,1.00,1.30,"2,000",0.05,1.25,32.14,"6,322",-72,780,
,84,-1,26,-,"1,435.00",-160.00,250,"1,433.30","1,443.00",200,"15,500.00","75,650",1.10,1.15,"3,500",-0.20,1.10,30.70,"43,251","4,529","16,496",
,-,-,-,-,-,-,150,"1,367.65","1,406.40",150,"15,550.00","1,450",1.30,1.55,"1,800",-0.10,1.30,30.30,"2,977",313,731,
,1,-3,4,-,"1,360.00",-223.95,50,"1,324.20","1,350.50",450,"15,600.00",350,1.45,1.60,100,-,1.60,30.05,"14,928","1,186","7,338",
,-,-,-,-,-,-,700,"1,271.30","1,306.50",100,"15,650.00","49,200",1.40,1.45,"1,500",-0.20,1.40,28.57,"3,869",119,541,
