"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","22-Dec-2022","29-Mar-2023","CE","21000","31.9","32.9","25.1","27.85","27.6","27.85","1274","13395.93","18.93","270300","270300","18127.35"
"NIFTY","22-Dec-2022","29-Mar-2023","CE","22000","13.95","16.4","12.05","12.6","12.25","12.6","837","9212.38","5.38","84650","84650","18127.35"
"NIFTY","22-Dec-2022","29-Mar-2023","CE","23000","10.15","10.15","7.7","9.4","9.4","12.9","19","218.58",".08","17850","17850","18127.35"
"NIFTY","22-Dec-2022","29-Mar-2023","CE","24000","0","0","0","6.85","6.85","3.95","0","0","0","50","50","18127.35"
"NIFTY","22-Dec-2022","29-Mar-2023","CE","18000","903.45","903.5","780","797.05","789.1","797.05","2003","18842.68","815.68","474750","474750","18127.35"
"NIFTY","22-Dec-2022","29-Mar-2023","CE","19000","307","358.15","290","297.45","290","297.45","2933","28318.14","454.64","527400","527400","18127.35"
"NIFTY","22-Dec-2022","29-Mar-2023","CE","17000","1599","1630.5","1500","1524.65","1505.8","1524.65","240","2224.76","184.76","281050","281050","18127.35"
"NIFTY","22-Dec-2022","29-Mar-2023","CE","11000","0","0","0","5879.7","0","7327.25","0","0","0","0","0","18127.35"
"NIFTY","22-Dec-2022","29-Mar-2023","CE","12000","0","0","0","6007.65","0","6345.4","0","0","0","0","0","18127.35"
"NIFTY","22-Dec-2022","29-Mar-2023","CE","13000","5297.95","5307.15","5197.25","5242.35","5197.25","5242.35","1141","10409.2","2992.7","209250","209250","18127.35"
"NIFTY","22-Dec-2022","29-Mar-2023","CE","14000","4300","4300","4200.15","4235.75","4246.1","4235.75","18","164.07","38.07","11600","11600","18127.35"
"NIFTY","22-Dec-2022","29-Mar-2023","CE","15000","3412.6","3434.4","3302.6","3337.7","3312.15","3337.7","182","1669.17","304.17","65600","65600","18127.35"
"NIFTY","22-Dec-2022","29-Mar-2023","CE","16000","2392","2392","2392","2392","2392","2485.15","1","9.2","1.2","12900","12900","18127.35"
"NIFTY","22-Dec-2022","29-Mar-2023","CE","20000","85.1","89.9","69.95","72.25","69.95","72.25","1532","15379.9","59.9","503400","503400","18127.35"
"NIFTY","23-Dec-2022","29-Mar-2023","CE","21000","26","28","17.75","18.35","18","18.35","1685","17710.48","17.98","268500","-1800","17806.8"
"NIFTY","23-Dec-2022","29-Mar-2023","CE","22000","10.55","12.3","10.5","11.65","11.25","11.65","278","3059.59","1.59","87850","3200","17806.8"
"NIFTY","23-Dec-2022","29-Mar-2023","CE","23000","7.25","9.3","7.15","8.25","8.25","7.8","29","333.62",".12","18250","400","17806.8"
