Strike,Stock,option_price,IV

21000.0,18127.35,27.6,0.14

22000.0,18127.35,12.25,0.15

23000.0,18127.35,9.4,0.18

24000.0,18127.35,6.85,0.2

18000.0,18127.35,789.1,0.11

19000.0,18127.35,290.0,0.12

11000.0,18127.35,0.0,-0.3

12000.0,18127.35,0.0,-0.2

20000.0,18127.35,69.95,0.11

21000.0,17806.8,18.0,0.14

22000.0,17806.8,11.25,0.17

23000.0,17806.8,8.25,0.19

24000.0,17806.8,6.85,0.22

18000.0,17806.8,620.8,0.13

19000.0,17806.8,194.65,0.12

17000.0,17806.8,1310.0,0.12

11000.0,17806.8,0.0,-0.3

12000.0,17806.8,0.0,-0.2

20000.0,17806.8,46.0,0.12

21000.0,18014.6,15.0,0.13

22000.0,18014.6,10.95,0.16

23000.0,18014.6,7.55,0.19

24000.0,18014.6,6.85,0.21

18000.0,18014.6,687.6,0.11

19000.0,18014.6,223.0,0.11

11000.0,18014.6,0.0,-0.3

12000.0,18014.6,0.0,-0.2

20000.0,18014.6,45.15,0.11

21000.0,18132.3,15.25,0.12

22000.0,18132.3,7.6,0.15

23000.0,18132.3,7.15,0.18

24000.0,18132.3,6.85,0.21

18000.0,18132.3,757.45,0.11

19000.0,18132.3,254.25,0.11

11000.0,18132.3,0.0,-0.3

12000.0,18132.3,0.0,-0.2

20000.0,18132.3,53.55,0.11

21000.0,18122.5,15.25,0.13

22000.0,18122.5,6.8,0.15

23000.0,18122.5,8.55,0.19

24000.0,18122.5,6.85,0.21

18000.0,18122.5,744.0,0.11

19000.0,18122.5,246.0,0.11

11000.0,18122.5,0.0,-0.3

12000.0,18122.5,0.0,-0.2

20000.0,18122.5,51.35,0.11

21000.0,18191.0,15.4,0.12

22000.0,18191.0,7.1,0.15

23000.0,18191.0,6.65,0.18

24000.0,18191.0,6.85,0.21

18000.0,18191.0,778.0,0.1

19000.0,18191.0,261.85,0.11

20000.0,18191.0,54.5,0.11

12000.0,18191.0,0.0,-0.3

17100.0,18105.3,0.0,-0.0

17150.0,18105.3,0.0,-0.0

17200.0,18105.3,0.0,-0.0

17250.0,18105.3,0.0,-0.0

17300.0,18105.3,0.0,-0.0

17350.0,18105.3,0.0,-0.0

17400.0,18105.3,0.0,-0.0

17450.0,18105.3,0.0,-0.0

21000.0,18105.3,14.0,0.13

22000.0,18105.3,7.2,0.15

23000.0,18105.3,7.25,0.19

24000.0,18105.3,7.0,0.22

17500.0,18105.3,1066.0,0.09

17550.0,18105.3,0.0,-0.0

17600.0,18105.3,0.0,-0.0

17650.0,18105.3,0.0,-0.0

17700.0,18105.3,0.0,-0.0

17750.0,18105.3,0.0,-0.0

17800.0,18105.3,0.0,-0.0

17850.0,18105.3,0.0,-0.0

17900.0,18105.3,0.0,-0.0

17950.0,18105.3,0.0,-0.0

18000.0,18105.3,727.55,0.11

18050.0,18105.3,0.0,-0.0

18100.0,18105.3,714.75,0.13

18150.0,18105.3,0.0,-0.0

18200.0,18105.3,605.5,0.11

18250.0,18105.3,0.0,-0.0

18300.0,18105.3,398.25,0.07

18350.0,18105.3,0.0,-0.0

18400.0,18105.3,515.85,0.12

18450.0,18105.3,0.0,-0.0

18500.0,18105.3,444.7,0.11

18550.0,18105.3,0.0,-5.8

18600.0,18105.3,399.65,0.11

18650.0,18105.3,0.0,0.0

18700.0,18105.3,0.0,0.0

18750.0,18105.3,0.0,0.0

18800.0,18105.3,0.0,0.0

18850.0,18105.3,0.0,0.01

18900.0,18105.3,0.0,0.01

18950.0,18105.3,0.0,0.01

19000.0,18105.3,235.85,0.11

19050.0,18105.3,0.0,0.01

19100.0,18105.3,0.0,0.01

19150.0,18105.3,0.0,0.02

19200.0,18105.3,0.0,0.02

19250.0,18105.3,0.0,0.02

19300.0,18105.3,0.0,0.02

19350.0,18105.3,0.0,0.02

19400.0,18105.3,0.0,0.02

19450.0,18105.3,0.0,0.03

19500.0,18105.3,106.0,0.11

19550.0,18105.3,0.0,0.03

19600.0,18105.3,0.0,0.03

19650.0,18105.3,0.0,0.03

19700.0,18105.3,0.0,0.04

