CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,750,"8,418.35","9,243.30",750,"33,500.00",-,-,0.05,"4,56,600",-0.55,0.05,117.20,"5,11,749","8,262","32,808",
,-,-,-,-,-,-,50,"8,049.50","8,217.15",750,"34,000.00","1,400",0.05,0.10,425,-0.60,0.05,110.02,"1,33,736","-2,452","5,691",
,2,-,-,-,"6,424.00",-,750,"7,258.15","7,657.15",50,"34,500.00","17,625",0.05,0.10,"2,000",-0.80,0.05,102.93,"76,217","1,222","3,033",
,-,-,-,-,-,-,750,"6,947.10","7,388.35",750,"35,000.00",-,-,0.05,"27,175",-0.95,0.05,95.93,"81,462",-733,"6,077",
,-,-,-,-,-,-,750,"6,451.90","6,862.85",750,"35,500.00",-,-,0.05,"12,725",-1.10,0.05,89.00,"74,451",426,"3,272",
,1,-,1,-,"5,630.00",470.00,750,"5,844.90","6,347.80",500,"36,000.00",-,-,0.05,"51,175",-1.15,0.05,82.13,"1,02,193",490,"8,105",
,1,-,-,-,"5,142.20",-,750,"5,345.00","5,939.65",500,"36,500.00",-,-,0.05,950,-1.45,0.05,75.34,"49,988",-495,"2,989",
,-,-,-,-,-,-,750,"4,899.45","5,563.80",750,"36,900.00","1,125",0.05,0.10,125,-1.70,0.05,69.95,"13,907","1,301","1,787",
,10,-6,24,-,"5,111.15",571.15,50,"5,087.95","5,181.00",50,"37,000.00","10,025",0.05,0.10,"4,900",-1.75,0.05,68.61,"1,11,608","-8,539","8,752",
,-,-,-,-,-,-,750,"4,809.70","5,241.55",750,"37,100.00",-,-,0.10,825,-1.80,0.05,67.27,"7,911",-262,582,
,1,-,-,-,"2,450.00",-,750,"4,662.25","5,138.65",750,"37,200.00",-,-,0.15,"4,650",-1.55,0.15,71.00,"7,145",93,"1,433",
,-,-,-,-,-,-,750,"4,631.25","5,010.65",750,"37,300.00",-,-,0.10,175,-1.80,0.10,67.62,"5,614",-467,281,
,1,-,-,-,"3,405.70",-,750,"4,515.95","4,939.95",750,"37,400.00",-,-,0.10,975,-1.95,0.05,63.27,"6,248",-586,528,
,4,-6,8,-,"4,630.00",930.00,750,"4,440.95","4,835.25",750,"37,500.00",-,-,0.05,"8,875",-1.85,0.05,61.93,"92,937","-6,699","6,442",
,-,-,-,-,-,-,750,"4,362.15","4,716.60",750,"37,600.00",-,-,0.05,975,-2.00,0.05,60.61,"7,465",-466,442,
,-,-,-,-,-,-,750,"4,237.50","4,637.40",750,"37,700.00",-,-,0.10,250,-2.05,0.10,62.08,"7,174",-326,"1,681",
,-,-,-,-,-,-,750,"4,145.90","4,488.15",750,"37,800.00",-,-,0.10,75,-2.20,0.10,60.70,"6,839",-560,561,
,-,-,-,-,-,-,750,"4,065.60","4,428.20",750,"37,900.00","1,025",0.05,0.15,150,-2.40,0.05,56.63,"10,461","-1,237","1,113",
,86,-223,330,81.62,"4,147.30",629.95,750,"3,898.20","4,146.00",200,"38,000.00",-,-,0.05,"15,850",-2.35,0.05,55.31,"2,26,847","-14,450","16,395",
,3,-,-,-,"2,459.80",-,750,"3,649.50","4,262.85",750,"38,100.00",-,-,0.15,375,-2.40,0.15,58.24,"14,046",-382,"1,026",
,6,-,-,-,"2,340.85",-,750,"3,783.45","4,131.35",750,"38,200.00",-,-,0.10,"1,150",-2.50,0.10,55.20,"10,516",-695,"1,225",
,7,-,-,-,"1,540.50",-,750,"3,711.45","4,027.70",750,"38,300.00",-,-,0.10,"1,125",-2.50,0.10,53.83,"16,251","-1,110","1,291",
,30,-,-,-,"2,426.65",-,750,"3,549.00","3,883.40",750,"38,400.00",-,-,0.10,"1,375",-2.60,0.10,52.46,"14,337",-706,"2,326",
,97,-38,60,72.36,"3,647.40",565.50,900,"3,610.10","3,647.40",225,"38,500.00",-,-,0.05,"49,450",-2.60,0.05,48.73,"3,76,866","-24,927","17,555",
,36,-,-,-,"2,358.25",-,900,"3,510.10","3,702.20",750,"38,600.00",200,0.05,0.10,750,-2.75,0.05,47.42,"23,838","-2,924","2,710",
,62,-2,4,-,"3,440.00",590.10,900,"3,410.10","3,440.00",150,"38,700.00","1,750",0.05,0.20,250,-2.80,0.05,46.11,"46,099","-7,580","2,400",
,394,-104,496,70.97,"3,350.00",710.70,900,"3,310.10","3,349.50",200,"38,800.00","10,675",0.05,0.10,"1,375",-3.05,0.05,44.80,"53,802","-2,698","4,975",
,52,-5,6,-,"2,997.55",367.95,900,"3,210.10","3,299.85",750,"38,900.00",-,-,0.05,"9,725",-3.15,0.05,43.49,"92,879","1,509","9,801",
,267,-253,698,52.03,"3,143.95",583.95,900,"3,110.10","3,141.10",100,"39,000.00",-,-,0.05,"1,48,700",-3.30,0.05,42.19,"11,02,438","-60,414","93,681",
,146,-55,79,-,"2,939.70",465.25,900,"3,010.10","3,099.85",750,"39,100.00",-,-,0.05,"35,000",-3.40,0.05,40.88,"1,49,367","7,148","14,117",
,70,6,35,-,"2,910.10",585.10,900,"2,910.55","2,999.85",750,"39,200.00",-,-,0.05,"1,175",-3.50,0.05,39.58,"1,68,567","3,200","11,136",
,128,-14,26,73.46,"2,864.70",665.55,900,"2,810.10","2,856.20",575,"39,300.00",-,-,0.05,"8,525",-3.55,0.05,38.27,"1,53,391",-405,"8,176",
,111,-28,62,-,"2,738.00",566.95,50,"2,728.95","2,752.25",350,"39,400.00",-,-,0.05,"21,650",-3.55,0.05,36.97,"1,84,909","-1,493","8,822",
,700,"-1,113","1,691",-,"2,628.05",563.70,25,"2,627.90","2,699.75",750,"39,500.00",-,-,0.05,"19,700",-3.85,0.05,35.67,"10,13,095","-29,287","57,789",
,260,-61,175,-,"2,510.50",600.05,300,"2,510.50","2,536.05",25,"39,600.00",-,-,0.05,125,-3.85,0.10,36.10,"2,15,371","-4,657","5,813",
,196,-89,317,-,"2,439.35",563.30,900,"2,410.10","2,440.05",100,"39,700.00",-,-,0.05,125,-4.05,0.05,33.07,"2,58,748","-7,294","5,018",
,210,-391,760,-,"2,340.40",573.95,900,"2,310.10","2,341.85",25,"39,800.00",-,-,0.05,800,-4.25,0.05,31.76,"2,72,613","-3,469","14,983",
,420,-191,483,-,"2,237.00",591.05,25,"2,214.50","2,238.75",550,"39,900.00","14,525",0.05,0.10,25,-4.40,0.15,30.46,"2,65,969","-5,376","7,576",
,"1,224","-3,108","6,638",-,"2,130.10",567.55,25,"2,121.00","2,138.55",25,"40,000.00",-,-,0.05,"18,825",-4.75,0.05,29.16,"17,19,500","-43,419","76,262",
,535,-193,467,-,"2,016.90",558.90,"1,500","2,021.20","2,037.60",625,"40,100.00",50,0.10,0.15,"2,950",-5.05,0.05,30.25,"3,48,143","-10,843","12,174",
